Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Raphinha,br BRA,"FW,MF",27,16,15,1347.0,11.0,6.0,1.0,1.0,0.0,10.5,7.6,Barcelona
Iñigo Martínez,es ESP,DF,33,15,15,1330.0,0.0,1.0,0.0,3.0,0.0,0.3,1.6,Barcelona
Pau Cubarsí,es ESP,DF,17,16,15,1291.0,0.0,1.0,0.0,3.0,0.0,0.7,0.9,Barcelona
Robert Lewandowski,pl POL,FW,36,15,15,1248.0,15.0,2.0,2.0,1.0,0.0,14.1,2.1,Barcelona
Jules Koundé,fr FRA,DF,26,16,14,1255.0,1.0,2.0,0.0,2.0,0.0,0.4,1.8,Barcelona
Pedri,es ESP,MF,22,16,14,1172.0,3.0,2.0,0.0,2.0,0.0,1.3,2.1,Barcelona
Lamine Yamal,es ESP,FW,17,14,12,1110.0,5.0,8.0,0.0,1.0,0.0,4.4,6.1,Barcelona
Alejandro Balde,es ESP,DF,21,14,12,1021.0,0.0,2.0,0.0,0.0,0.0,0.3,1.3,Barcelona
Marc Casado,es ESP,MF,21,13,11,934.0,0.0,3.0,0.0,4.0,1.0,0.9,1.3,Barcelona
Iñaki Peña,es ESP,GK,25,11,10,946.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Barcelona
Marc-André ter Stegen,de GER,GK,32,6,6,494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona
Ferrán Torres,es ESP,"FW,MF",24,10,6,434.0,2.0,2.0,0.0,0.0,1.0,1.6,0.4,Barcelona
Dani Olmo,es ESP,"MF,FW",26,8,5,472.0,5.0,0.0,0.0,0.0,0.0,2.2,1.1,Barcelona
Gerard Martín,es ESP,DF,22,11,4,390.0,0.0,1.0,0.0,2.0,0.0,0.0,0.4,Barcelona
Pablo Torre,es ESP,"MF,FW",21,7,4,248.0,3.0,1.0,0.0,0.0,0.0,0.3,0.5,Barcelona
Eric García,es ESP,MF,23,9,3,452.0,0.0,1.0,0.0,0.0,0.0,0.6,0.4,Barcelona
Fermin López,es ESP,"MF,FW",21,10,3,308.0,0.0,0.0,0.0,2.0,0.0,0.7,0.4,Barcelona
Marc Bernal,es ESP,MF,17,3,3,242.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,Barcelona
Héctor Fort,es ESP,DF,18,8,2,272.0,0.0,0.0,0.0,1.0,0.0,0.1,0.6,Barcelona
Sergi Dominguez,es ESP,DF,19,3,2,172.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Barcelona
Gavi,es ESP,MF,20,7,2,164.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,Barcelona
Frenkie de Jong,nl NED,MF,27,7,1,204.0,1.0,1.0,0.0,0.0,0.0,0.2,1.2,Barcelona
Pau Victor Delgado,es ESP,FW,23,11,1,166.0,2.0,1.0,0.0,2.0,0.0,1.8,0.4,Barcelona
Ansu Fati,es ESP,FW,22,4,1,127.0,0.0,0.0,0.0,1.0,0.0,0.6,0.1,Barcelona
Andreas Christensen,dk DEN,DF,28,1,0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Barcelona
Ander Astralaga,es ESP,GK,20,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Barcelona
Álvaro Cortés,es ESP,DF,19,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Barcelona
Andres Cuenca,es ESP,DF,17,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Barcelona
Noah Darvich,de GER,MF,18,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Barcelona
Guillermo Fernandez,es ESP,MF,16,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Barcelona
Toni Fernández,es ESP,MF,16,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Barcelona
Diego Kochen,us USA,GK,18,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Barcelona
Wojciech Szczęsny,pl POL,GK,34,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Barcelona
Álex Valle,es ESP,DF,20,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Barcelona
Áron Yaakobishvili,hu HUN,GK,18,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Barcelona
Squad Total,nan,nan,24,16,176,1440.0,48.0,34.0,3.0,31.0,2.0,40.3,30.8,Barcelona
Opponent Total,nan,nan,27,16,176,1440.0,17.0,13.0,2.0,46.0,0.0,19.2,15.2,Barcelona
Federico Valverde,uy URU,"MF,DF",26,nan,15,1300.0,3.0,2.0,0.0,2.0,0.0,0.7,1.4,Real-Madrid
Antonio Rüdiger,de GER,DF,31,nan,14,1267.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1,Real-Madrid
Kylian Mbappé,fr FRA,FW,25,nan,14,1199.0,8.0,1.0,3.0,1.0,0.0,11.3,1.6,Real-Madrid
Thibaut Courtois,be BEL,GK,32,nan,12,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Madrid
Vinicius Júnior,br BRA,FW,24,nan,12,1069.0,8.0,5.0,2.0,4.0,0.0,5.5,4.7,Real-Madrid
Éder Militão,br BRA,DF,26,nan,11,938.0,1.0,1.0,0.0,2.0,0.0,0.6,0.5,Real-Madrid
Jude Bellingham,eng ENG,MF,21,nan,11,915.0,4.0,3.0,1.0,2.0,0.0,3.1,1.1,Real-Madrid
Aurélien Tchouaméni,fr FRA,"MF,DF",24,nan,11,914.0,0.0,0.0,0.0,1.0,0.0,0.5,0.3,Real-Madrid
Rodrygo,br BRA,FW,23,nan,9,817.0,3.0,1.0,0.0,0.0,0.0,1.3,1.0,Real-Madrid
Ferland Mendy,fr FRA,DF,29,nan,8,684.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Real-Madrid
