,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Playing Time
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team,MP
0,Raphinha,br BRA,"FW,MF",27-358,16.0,15,1347.0,15.0,11.0,6.0,17.0,10.0,1.0,1.0,1.0,0.0,10.5,9.7,7.6,17.4,51.0,71.0,134.0,0.73,0.4,1.14,0.67,1.07,0.7,0.51,1.21,0.65,1.16,Matches,Barcelona,
1,Iñigo Martínez,es ESP,DF,33-203,15.0,15,1330.0,14.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.6,1.9,31.0,114.0,2.0,0.0,0.07,0.07,0.0,0.07,0.02,0.11,0.13,0.02,0.13,Matches,Barcelona,
2,Pau Cubarsí,es ESP,DF,17-319,16.0,15,1291.0,14.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.9,1.7,8.0,82.0,2.0,0.0,0.07,0.07,0.0,0.07,0.05,0.07,0.12,0.05,0.12,Matches,Barcelona,
3,Robert Lewandowski,pl POL,FW,36-107,15.0,15,1248.0,13.9,15.0,2.0,17.0,13.0,2.0,3.0,1.0,0.0,14.1,11.7,2.1,13.8,13.0,27.0,75.0,1.08,0.14,1.23,0.94,1.08,1.02,0.15,1.17,0.85,1.0,Matches,Barcelona,
4,Jules Koundé,fr FRA,DF,26-024,16.0,14,1255.0,13.9,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,1.8,2.2,23.0,73.0,83.0,0.07,0.14,0.22,0.07,0.22,0.03,0.13,0.16,0.03,0.16,Matches,Barcelona,
5,Pedri,es ESP,MF,22-011,16.0,14,1172.0,13.0,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,1.3,1.3,2.1,3.4,30.0,97.0,44.0,0.23,0.15,0.38,0.23,0.38,0.1,0.16,0.26,0.1,0.26,Matches,Barcelona,
6,Lamine Yamal,es ESP,FW,17-146,14.0,12,1110.0,12.3,5.0,8.0,13.0,5.0,0.0,0.0,1.0,0.0,4.4,4.4,6.1,10.6,68.0,67.0,169.0,0.41,0.65,1.05,0.41,1.05,0.36,0.5,0.86,0.36,0.86,Matches,Barcelona,
7,Alejandro Balde,es ESP,DF,21-049,14.0,12,1021.0,11.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.3,1.5,42.0,32.0,91.0,0.0,0.18,0.18,0.0,0.18,0.02,0.11,0.14,0.02,0.14,Matches,Barcelona,
8,Marc Casado,es ESP,MF,21-083,13.0,11,934.0,10.4,0.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,0.9,0.9,1.3,2.2,5.0,68.0,18.0,0.0,0.29,0.29,0.0,0.29,0.08,0.12,0.21,0.08,0.21,Matches,Barcelona,
